numero_de_cliente,Predicted
34080250,1
40412061,1
30288530,1
43026490,1
43167170,1
54552140,1
36662290,1
23203061,1
44677190,1
32183500,1
11893651,1
29442550,1
28793830,1
20196060,1
67936640,1
62385040,1
45275050,1
38034400,1
24228150,1
29846090,1
41772201,1
24234961,1
30960180,1
49887450,1
61157010,1
65005991,1
30240550,1
14161040,1
38755130,1
40653360,1
61192251,1
41547330,1
33035260,1
56758691,1
35473840,1
57148841,1
49609680,1
52079371,1
61499040,1
54870730,1
31151610,1
36835941,1
62338021,1
45500820,1
34650080,1
47997500,1
56139980,1
61564270,1
28818240,1
15055840,1
64973571,1
31781921,1
29020810,1
48648751,1
39004180,1
57928901,1
68363630,1
23581730,1
33658261,1
63200950,1
27013600,1
27765090,1
36930951,1
32360751,1
57835780,1
68219070,1
30066770,1
34960800,1
64112550,1
62968270,1
69657301,1
54610271,1
43812761,1
22442891,1
14228941,1
54175240,1
38084730,1
22722711,1
55332921,1
23802711,1
40338971,1
72222500,1
15077220,1
22888491,1
56418430,1
35278270,1
26293171,1
44772050,1
39946840,1
12804021,1
37961430,1
67214530,1
55138211,1
54170021,1
11705610,1
55167390,1
28185040,1
33699870,1
42286471,1
38335440,1
20395790,1
27292180,1
30665580,1
29291461,1
53296030,1
36620921,1
62402871,1
23617931,1
29690021,1
30307040,1
48653260,1
46542101,1
62337570,1
21357771,1
61195500,1
54732991,1
23723151,1
29278700,1
51609210,1
51276950,1
16277520,1
62330110,1
63186860,1
42990360,1
71360630,1
44542081,1
13535190,1
21949571,1
49624310,1
54889230,1
28762951,1
27866750,1
28511121,1
48406171,1
13558390,1
65167590,1
61165980,1
53148901,1
29744641,1
12862200,1
28068530,1
16511731,1
28208630,1
42587401,1
61895741,1
57492001,1
68143260,1
50052051,1
62375780,1
16029171,1
58624230,1
39946020,1
27282970,1
52642211,1
40039110,1
55342840,1
56899880,1
30685340,1
30506600,1
47193420,1
12110290,1
28879880,1
62098590,1
53175261,1
27156640,1
16488770,1
41865120,1
54230861,1
39024221,1
37828391,1
42770110,1
58710420,1
61598060,1
