escenario,descripcion,semilla,ganancia
E0,Todos los meses,700001,85150
E0,Todos los meses,690506,83904
E0,Todos los meses,804528,84735
E0,Todos los meses,613037,85482
E0,Todos los meses,648983,82326
E0,Todos los meses,365305,84652
E0,Todos los meses,163687,85566
E0,Todos los meses,929304,88141
E0,Todos los meses,626029,86985
E0,Todos los meses,567294,87559
E0,Todos los meses,498440,80166
E0,Todos los meses,402372,83655
E0,Todos los meses,220022,89636
E0,Todos los meses,100931,85399
E1,Quitando Abril-Mayo-Junio 2020,700001,87227
E1,Quitando Abril-Mayo-Junio 2020,690506,86479
E1,Quitando Abril-Mayo-Junio 2020,804528,89138
E1,Quitando Abril-Mayo-Junio 2020,613037,81080
E1,Quitando Abril-Mayo-Junio 2020,648983,84735
E1,Quitando Abril-Mayo-Junio 2020,365305,85399
E1,Quitando Abril-Mayo-Junio 2020,163687,83987
E1,Quitando Abril-Mayo-Junio 2020,929304,86562
E1,Quitando Abril-Mayo-Junio 2020,626029,77674
E1,Quitando Abril-Mayo-Junio 2020,567294,87310
E1,Quitando Abril-Mayo-Junio 2020,498440,81080
E1,Quitando Abril-Mayo-Junio 2020,402372,87144
E1,Quitando Abril-Mayo-Junio 2020,220022,91048
E1,Quitando Abril-Mayo-Junio 2020,100931,83156
E2,Quitando Marzo-Abril-Mayo-Junio 2020,700001,84153
E2,Quitando Marzo-Abril-Mayo-Junio 2020,690506,87642
E2,Quitando Marzo-Abril-Mayo-Junio 2020,804528,89719
E2,Quitando Marzo-Abril-Mayo-Junio 2020,613037,87892
E2,Quitando Marzo-Abril-Mayo-Junio 2020,648983,90467
E2,Quitando Marzo-Abril-Mayo-Junio 2020,365305,79003
E2,Quitando Marzo-Abril-Mayo-Junio 2020,163687,87642
E2,Quitando Marzo-Abril-Mayo-Junio 2020,929304,84901
E2,Quitando Marzo-Abril-Mayo-Junio 2020,626029,81910
E2,Quitando Marzo-Abril-Mayo-Junio 2020,567294,87393
E2,Quitando Marzo-Abril-Mayo-Junio 2020,498440,83655
E2,Quitando Marzo-Abril-Mayo-Junio 2020,402372,83904
E2,Quitando Marzo-Abril-Mayo-Junio 2020,220022,85732
E2,Quitando Marzo-Abril-Mayo-Junio 2020,100931,86230
E3,Quitando Febrero 2020,700001,85566
E3,Quitando Febrero 2020,690506,84319
E3,Quitando Febrero 2020,804528,88639
E3,Quitando Febrero 2020,613037,84070
E3,Quitando Febrero 2020,648983,79833
E3,Quitando Febrero 2020,365305,90882
E3,Quitando Febrero 2020,163687,85233
E3,Quitando Febrero 2020,929304,92544
E3,Quitando Febrero 2020,626029,86147
E3,Quitando Febrero 2020,567294,88556
E3,Quitando Febrero 2020,498440,82741
E3,Quitando Febrero 2020,402372,85732
E3,Quitando Febrero 2020,220022,86729
E3,Quitando Febrero 2020,100931,87982
E4,Quitando Febrero-Marzo 2020,700001,85316
E4,Quitando Febrero-Marzo 2020,690506,81329
E4,Quitando Febrero-Marzo 2020,804528,84236
E4,Quitando Febrero-Marzo 2020,613037,84735
E4,Quitando Febrero-Marzo 2020,648983,80830
E4,Quitando Febrero-Marzo 2020,365305,81246
E4,Quitando Febrero-Marzo 2020,163687,88639
E4,Quitando Febrero-Marzo 2020,929304,91215
E4,Quitando Febrero-Marzo 2020,626029,81910
E4,Quitando Febrero-Marzo 2020,567294,86812
E4,Quitando Febrero-Marzo 2020,498440,86895
E4,Quitando Febrero-Marzo 2020,402372,85067
E4,Quitando Febrero-Marzo 2020,220022,86479
E4,Quitando Febrero-Marzo 2020,100931,85399
E5,Quitando Enero-Febrero-Marzo 2020,700001,83655
E5,Quitando Enero-Febrero-Marzo 2020,690506,85233
E5,Quitando Enero-Febrero-Marzo 2020,804528,88473
E5,Quitando Enero-Febrero-Marzo 2020,613037,83156
E5,Quitando Enero-Febrero-Marzo 2020,648983,80664
E5,Quitando Enero-Febrero-Marzo 2020,365305,77923
E5,Quitando Enero-Febrero-Marzo 2020,163687,89470
E5,Quitando Enero-Febrero-Marzo 2020,929304,93374
E5,Quitando Enero-Febrero-Marzo 2020,626029,83821
E5,Quitando Enero-Febrero-Marzo 2020,567294,91215
E5,Quitando Enero-Febrero-Marzo 2020,498440,92045
E5,Quitando Enero-Febrero-Marzo 2020,402372,80498
E5,Quitando Enero-Febrero-Marzo 2020,220022,85981
E5,Quitando Enero-Febrero-Marzo 2020,100931,82907
