cp,maxdepth,minsplit,minbucket,ganancia_mean
-0.50,6,700,140,574166666.67
-0.50,6,600,140,574166666.67
-0.50,6,625,140,574166666.67
-0.50,6,650,140,574166666.67
-0.50,6,675,140,574166666.67
-0.50,6,700,140,574166666.67
-0.50,6,725,140,574166666.67
-0.50,6,750,140,574166666.67
-0.50,6,775,140,574166666.67
-0.50,6,800,140,574166666.67
-0.50,6,800,160,572166666.67
-0.50,6,600,160,572166666.67
-0.50,6,625,160,572166666.67
-0.50,6,650,160,572166666.67
-0.50,6,675,160,572166666.67
-0.50,6,700,160,572166666.67
-0.50,6,725,160,572166666.67
-0.50,6,750,160,572166666.67
-0.50,6,775,160,572166666.67
-0.50,6,800,160,572166666.67
-0.50,6,1100,550,570416666.67
-0.50,6,900,180,569416666.67
-0.50,6,600,180,569416666.67
-0.50,6,600,180,569416666.67
-0.50,6,625,180,569416666.67
-0.50,6,650,180,569416666.67
-0.50,6,675,180,569416666.67
-0.50,6,700,180,569416666.67
-0.50,6,725,180,569416666.67
-0.50,6,750,180,569416666.67
-0.50,6,775,180,569416666.67
-0.50,6,800,180,569416666.67
-0.50,6,1000,500,569083333.33
-1,6,1000,500,569083333.33
-0.50,6,1000,500,569083333.33
-0.50,7,700,140,562333333.33
-0.50,7,800,160,559500000.00
-0.50,6,600,120,558916666.67
-0.50,6,600,120,558916666.67
-0.50,6,600,100,558916666.67
-0.50,6,600,120,558916666.67
-0.50,6,625,100,558916666.67
-0.50,6,625,120,558916666.67
-0.50,6,650,100,558916666.67
-0.50,6,650,120,558916666.67
-0.50,6,675,100,558916666.67
-0.50,6,675,120,558916666.67
-0.50,6,700,100,558916666.67
-0.50,6,700,120,558916666.67
-0.50,6,725,100,558916666.67
-0.50,6,725,120,558916666.67
-0.50,6,750,100,558916666.67
-0.50,6,750,120,558916666.67
-0.50,6,775,100,558916666.67
-0.50,6,775,120,558916666.67
-0.50,6,800,100,558916666.67
-0.50,6,800,120,558916666.67
-0.50,6,1000,100,558583333.33
-1,6,800,400,558333333.33
-0.50,6,800,400,558333333.33
-0.50,6,900,360,557583333.33
-0.50,7,600,120,557250000.00
-0.50,8,1000,100,556750000.00
-0.50,8,600,120,556500000.00
-0.50,6,900,450,554750000.00
-0.50,10,1000,100,553583333.33
-0.50,7,900,180,553583333.33
-0.50,6,100,20,553500000.00
-0.50,7,1100,550,553250000.00
-0.50,7,600,180,552000000.00
-0.50,6,700,350,550166666.67
-1,6,50,25,550083333.33
-0.50,6,1100,440,549916666.67
-0.50,12,1000,100,548500000.00
-0.50,8,1000,500,547916666.67
-0.50,12,1000,500,547916666.67
-0.50,14,1000,500,547916666.67
-0.50,10,1000,500,547916666.67
-1,8,1000,500,547916666.67
-1,10,1000,500,547916666.67
-1,12,1000,500,547916666.67
-1,14,1000,500,547916666.67
-0.50,7,1000,500,547916666.67
-0.50,6,800,320,546250000.00
-0.50,6,600,300,546166666.67
-1,6,600,300,546166666.67
-0.50,6,900,270,546166666.67
-0.50,6,700,280,546166666.67
-0.50,6,600,300,546166666.67
-1,8,800,400,545750000.00
-0.50,5,600,120,545333333.33
-0.50,10,600,120,544916666.67
-0.50,6,1100,330,543250000.00
-0.50,5,1100,550,542916666.67
-0.50,5,1000,500,542916666.67
-0.50,6,100,10,542666666.67
-1,6,20,10,542666666.67
-0.50,4,1000,500,541666666.67
-0.50,4,1000,200,541666666.67
-0.50,4,600,300,541666666.67
-1,4,1000,500,541666666.67
-1,4,800,400,541666666.67
-1,4,600,300,541666666.67
-1,4,400,200,541666666.67
-0.50,14,1000,100,541250000.00
-0.50,7,700,350,541250000.00
-0.50,7,800,400,541166666.67
-0.50,6,1000,400,539250000.00
-0.50,7,600,300,539250000.00
-0.50,6,1000,300,538500000.00
-0.50,7,800,320,538500000.00
-0.50,6,10,1,536416666.67
-0.50,6,10,2,535916666.67
-0.50,6,10,5,535833333.33
-1,6,10,5,535833333.33
-0.50,5,900,450,535833333.33
-0.50,5,700,140,534500000.00
-0.50,5,800,160,534083333.33
0,6,10,2,533916666.67
-0.50,7,700,280,533916666.67
-1,10,800,400,533750000.00
-1,12,800,400,533750000.00
-1,14,800,400,533750000.00
