feature_fraction,minsplit,minbucket,maxdepth,ganancia
0.40,100,50,12,363831000
0.40,200,100,12,362998000
0.40,200,100,14,362665000
0.40,200,100,10,358915000
0.40,100,50,10,357831000
0.40,300,100,14,357581000
0.40,300,100,10,357415000
0.40,300,60,12,356665000
0.40,300,100,12,355498000
0.30,400,140,8,354498000
0.70,700,140,8,353581000
0.50,1000,140,8,353498000
0.40,400,100,10,352498000
0.40,400,120,10,351665000
0.30,700,140,8,351331000
0.40,300,60,14,350665000
0.50,700,210,8,350498000
0.30,400,70,8,349581000
0.30,700,70,8,349081000
0.30,400,210,6,348498000
0.40,300,120,10,348498000
0.50,1000,210,8,348081000
0.50,1000,70,8,347665000
0.50,700,140,8,346081000
0.70,1000,140,8,345915000
0.30,700,210,8,345665000
0.70,400,140,8,345415000
0.50,400,140,8,345248000
0.40,300,80,12,345248000
0.20,300,100,10,344831000
0.50,400,70,8,344665000
0.30,1000,140,8,344581000
0.50,400,210,8,344248000
0.50,400,140,6,343915000
0.20,400,100,10,343748000
0.40,300,80,14,343665000
0.40,300,100,7,343248000
0.40,400,100,7,342998000
0.50,700,70,8,342831000
0.70,400,70,8,342248000
0.30,1000,70,8,341831000
0.30,400,140,6,341665000
0.50,400,210,6,341331000
0.30,700,210,6,340831000
0.50,700,210,6,340665000
0.70,1000,70,8,339498000
0.50,700,140,6,339415000
0.30,400,210,8,339248000
0.40,400,120,7,339165000
0.40,300,120,7,338998000
0.20,400,120,10,338665000
0.50,1000,210,6,338331000
0.30,1000,70,6,338165000
0.70,700,70,8,337998000
0.20,400,120,7,337915000
0.50,1000,140,6,337748000
0.30,400,70,6,337498000
0.30,1000,140,6,337165000
0.30,700,140,6,336998000
0.30,700,70,6,336581000
0.50,700,70,6,336581000
0.50,1000,70,6,336165000
0.20,400,100,7,336081000
0.30,400,210,4,335998000
0.30,700,210,4,335915000
0.30,1000,210,4,335915000
0.20,300,100,7,335415000
0.30,700,140,4,335331000
0.30,400,140,4,335165000
0.20,300,120,7,335165000
0.50,400,210,4,334748000
0.50,700,210,4,334248000
0.30,1000,140,4,333998000
0.20,300,120,10,333581000
0.30,1000,210,8,333331000
0.50,400,70,6,333165000
0.30,700,70,4,332748000
0.30,400,70,4,332415000
0.30,1000,210,6,332331000
0.30,1000,70,4,332081000
0.50,1000,210,4,330748000
0.50,400,140,4,330248000
0.50,1000,140,4,330248000
0.50,700,140,4,330165000
0.70,1000,210,6,328998000
0.70,400,210,8,328498000
0.70,1000,210,8,328248000
0.70,400,210,6,326748000
0.50,1000,70,4,325415000
0.50,400,70,4,324998000
0.50,700,70,4,324998000
0.70,700,210,8,324165000
0.70,700,140,6,323915000
0.70,400,70,6,322082000
0.70,700,210,6,319832000
0.70,1000,140,6,317832000
0.70,400,140,6,316665000
0.70,700,70,6,315915000
0.70,1000,70,6,313582000
0.70,1000,210,4,306832000
0.70,400,210,4,306748000
0.70,700,210,4,306665000
0.70,1000,140,4,295832000
0.70,400,140,4,295748000
0.70,700,140,4,295748000
0.70,400,70,4,294248000
0.70,700,70,4,294248000
0.70,1000,70,4,294248000
0.40,50,20,12,348998000
0.40,50,20,14,350081000
0.40,50,30,12,343748000
0.40,50,30,14,339998000
0.40,80,20,12,347165000
0.40,80,20,14,356415000
0.40,80,30,12,339831000
0.40,80,30,14,339415000
0.40,80,10,14,345165000
0.40,80,10,16,343915000
0.40,80,20,14,356415000
0.40,80,20,16,344498000
0.40,100,10,14,335415000
0.40,100,10,16,331581000
0.40,100,50,20,363998000
0.30,300,100,12,345415000
0.30,300,100,20,347081000
0.40,300,100,12,355498000
0.40,300,100,20,353415000
0.30,100,50,30,358915000
0.40,100,50,30,360665000
0.40,100,50,14,375331000
0.40,100,50,16,374331000
0.40,100,50,18,363581000
0.40,100,50,22,360665000
0.40,100,50,13,358998000
0.40,100,50,15,374581000
