num_leaves	min_data_in_leaf	learning_rate	feature_fraction	AUC	best_iter
31	100	0.02	0.7	0.930952210208767	351
31	100	0.02	0.85	0.928262159961045	350
31	100	0.02	1	0.92951010037833	334
31	100	0.05	0.7	0.929423474759627	168
31	100	0.05	0.85	0.92794741918045	136
31	100	0.05	1	0.926768963982684	147
31	100	0.1	0.7	0.927595888686174	69
31	100	0.1	0.85	0.925619527830215	87
31	100	0.1	1	0.927302976822486	70
31	500	0.02	0.7	0.932061751142634	402
31	500	0.02	0.85	0.931326059625876	343
31	500	0.02	1	0.930871362051444	412
31	500	0.05	0.7	0.931530793876549	152
31	500	0.05	0.85	0.930417401312259	132
31	500	0.05	1	0.93058454370191	120
31	500	0.1	0.7	0.929349232870337	85
31	500	0.1	0.85	0.928596765736059	56
31	500	0.1	1	0.928295434778817	55
31	1500	0.02	0.7	0.930171231697158	460
31	1500	0.02	0.85	0.930047278010898	528
31	1500	0.02	1	0.929104090597011	493
31	1500	0.05	0.7	0.930299884247226	205
31	1500	0.05	0.85	0.927883370628729	166
31	1500	0.05	1	0.929520875370608	200
31	1500	0.1	0.7	0.930139841727851	93
31	1500	0.1	0.85	0.928902397290565	83
31	1500	0.1	1	0.92872333063939	84
63	100	0.02	0.7	0.929618008317004	317
63	100	0.02	0.85	0.928383737997862	299
63	100	0.02	1	0.928771321651195	328
63	100	0.05	0.7	0.929046978947841	128
63	100	0.05	0.85	0.928217901581366	147
63	100	0.05	1	0.927012023543886	118
63	100	0.1	0.7	0.927328487328822	114
63	100	0.1	0.85	0.927466633793397	83
63	100	0.1	1	0.926232188305107	49
63	500	0.02	0.7	0.930721950068948	339
63	500	0.02	0.85	0.931196249211595	318
63	500	0.02	1	0.929551646445494	284
63	500	0.05	0.7	0.930459041675071	111
63	500	0.05	0.85	0.928392062245212	107
63	500	0.05	1	0.928917994704889	118
63	500	0.1	0.7	0.929886605137931	63
63	500	0.1	0.85	0.928639867768453	58
63	500	0.1	1	0.928911795892347	50
63	1500	0.02	0.7	0.930341344565999	471
63	1500	0.02	0.85	0.930207651407187	502
63	1500	0.02	1	0.930203573137496	486
63	1500	0.05	0.7	0.928772686554729	190
63	1500	0.05	0.85	0.928983707234297	148
63	1500	0.05	1	0.92952730403452	182
63	1500	0.1	0.7	0.928490553459378	82
63	1500	0.1	0.85	0.928550721929101	89
63	1500	0.1	1	0.928809728858431	78
127	100	0.02	0.7	0.930046333908462	463
127	100	0.02	0.85	0.928457071225573	287
127	100	0.02	1	0.9280483288443	300
127	100	0.05	0.7	0.928129334229789	114
127	100	0.05	0.85	0.928508198297668	237
127	100	0.05	1	0.926793502609208	170
127	100	0.1	0.7	0.925662290985453	84
127	100	0.1	0.85	0.926601418370257	123
127	100	0.1	1	0.926001576288492	68
127	500	0.02	0.7	0.930436071705427	291
127	500	0.02	0.85	0.929243809980766	316
127	500	0.02	1	0.928864970118397	261
127	500	0.05	0.7	0.929894389010744	124
127	500	0.05	0.85	0.930668354004777	119
127	500	0.05	1	0.929174311919844	124
127	500	0.1	0.7	0.92863411560533	52
127	500	0.1	0.85	0.927660910714053	54
127	500	0.1	1	0.928537019584538	49
127	1500	0.02	0.7	0.930630808546554	502
127	1500	0.02	0.85	0.92920504454865	463
127	1500	0.02	1	0.929072403460145	440
127	1500	0.05	0.7	0.929225928970857	148
127	1500	0.05	0.85	0.928831957825647	164
127	1500	0.05	1	0.928526431914623	203
127	1500	0.1	0.7	0.928808829858287	89
127	1500	0.1	0.85	0.928887502942814	85
127	1500	0.1	1	0.929122179802734	86
