num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	max_depth	min_gain_to_split	AUC	best_iter
31	300	0.01	0.4	0.75	1	0	-1	0	0.932193219064974	824
31	300	0.01	0.4	0.75	1	0	-1	0.01	0.93340810678319	782
31	300	0.01	0.4	0.75	1	0	8	0	0.93252256126781	814
31	300	0.01	0.4	0.75	1	0	8	0.01	0.932847613862807	902
31	300	0.01	0.4	0.9	1	0	-1	0	0.93259785508857	878
31	300	0.01	0.4	0.9	1	0	-1	0.01	0.932565475508143	757
31	300	0.01	0.4	0.9	1	0	8	0	0.933476728069268	971
31	300	0.01	0.4	0.9	1	0	8	0.01	0.932945035754686	935
31	300	0.01	0.5	0.75	1	0	-1	0	0.932779415821401	848
31	300	0.01	0.5	0.75	1	0	-1	0.01	0.933317753607686	867
31	300	0.01	0.5	0.75	1	0	8	0	0.932457222605415	848
31	300	0.01	0.5	0.75	1	0	8	0.01	0.931778458360067	814
31	300	0.01	0.5	0.9	1	0	-1	0	0.933026383479175	781
31	300	0.01	0.5	0.9	1	0	-1	0.01	0.932550787352872	804
31	300	0.01	0.5	0.9	1	0	8	0	0.932753645873129	798
31	300	0.01	0.5	0.9	1	0	8	0.01	0.93187767901778	887
31	300	0.01	0.6	0.75	1	0	-1	0	0.933626398280755	771
31	300	0.01	0.6	0.75	1	0	-1	0.01	0.93259269942848	816
31	300	0.01	0.6	0.75	1	0	8	0	0.932961131965362	1035
31	300	0.01	0.6	0.75	1	0	8	0.01	0.93295077199346	933
31	300	0.01	0.6	0.9	1	0	-1	0	0.933370749222475	716
31	300	0.01	0.6	0.9	1	0	-1	0.01	0.933430583768619	861
31	300	0.01	0.6	0.9	1	0	8	0	0.932865992166162	929
31	300	0.01	0.6	0.9	1	0	8	0.01	0.933113621924818	947
31	300	0.02	0.4	0.75	1	0	-1	0	0.932244768690249	374
31	300	0.02	0.4	0.75	1	0	-1	0.01	0.932295695425638	394
31	300	0.02	0.4	0.75	1	0	8	0	0.932097280915611	426
31	300	0.02	0.4	0.75	1	0	8	0.01	0.932932477135576	374
31	300	0.02	0.4	0.9	1	0	-1	0	0.932363579882048	404
31	300	0.02	0.4	0.9	1	0	-1	0.01	0.932823222850773	459
31	300	0.02	0.4	0.9	1	0	8	0	0.931760266287498	389
31	300	0.02	0.4	0.9	1	0	8	0.01	0.932853217635359	471
31	300	0.02	0.5	0.75	1	0	-1	0	0.932162718955833	455
31	300	0.02	0.5	0.75	1	0	-1	0.01	0.931394451785577	343
31	300	0.02	0.5	0.75	1	0	8	0	0.932608230030306	464
31	300	0.02	0.5	0.75	1	0	8	0.01	0.932671555005737	370
31	300	0.02	0.5	0.9	1	0	-1	0	0.932589232490685	432
31	300	0.02	0.5	0.9	1	0	-1	0.01	0.933010689150239	463
31	300	0.02	0.5	0.9	1	0	8	0	0.933083392279549	574
31	300	0.02	0.5	0.9	1	0	8	0.01	0.933221583600598	440
31	300	0.02	0.6	0.75	1	0	-1	0	0.93232402393205	422
31	300	0.02	0.6	0.75	1	0	-1	0.01	0.931890133799505	448
31	300	0.02	0.6	0.75	1	0	8	0	0.932882327766603	439
31	300	0.02	0.6	0.75	1	0	8	0.01	0.932437438638163	489
31	300	0.02	0.6	0.9	1	0	-1	0	0.931952830989551	380
31	300	0.02	0.6	0.9	1	0	-1	0.01	0.932992324536239	383
31	300	0.02	0.6	0.9	1	0	8	0	0.931559042637684	630
31	300	0.02	0.6	0.9	1	0	8	0.01	0.932810789233734	496
31	500	0.01	0.4	0.75	1	0	-1	0	0.932627374085237	841
31	500	0.01	0.4	0.75	1	0	-1	0.01	0.933495491323455	867
31	500	0.01	0.4	0.75	1	0	8	0	0.933415020823173	925
31	500	0.01	0.4	0.75	1	0	8	0.01	0.932727303212048	1025
31	500	0.01	0.4	0.9	1	0	-1	0	0.932554686204202	802
