num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	max_depth	min_gain_to_split	lambda_l1	min_sum_hessian_in_leaf	AUC	best_iter
31	500	0.01	0.5	0.75	1	0	-1	0	0	0.001	0.93188032352181	780
31	500	0.01	0.5	0.75	1	0	-1	0	0	1	0.933390884426594	782
31	500	0.01	0.5	0.75	1	0	-1	0	1	0.001	0.932625081615408	839
31	500	0.01	0.5	0.75	1	0	-1	0	1	1	0.933202232189011	870
31	500	0.01	0.5	0.75	1	0	-1	0.01	0	0.001	0.93241396883988	749
31	500	0.01	0.5	0.75	1	0	-1	0.01	0	1	0.932698365351576	816
31	500	0.01	0.5	0.75	1	0	-1	0.01	1	0.001	0.933317121699153	844
31	500	0.01	0.5	0.75	1	0	-1	0.01	1	1	0.933014094174007	855
31	500	0.01	0.5	0.75	1	0	-1	0.05	0	0.001	0.93272618257542	848
31	500	0.01	0.5	0.75	1	0	-1	0.05	0	1	0.933448977020021	850
31	500	0.01	0.5	0.75	1	0	-1	0.05	1	0.001	0.932318210338905	905
31	500	0.01	0.5	0.75	1	0	-1	0.05	1	1	0.931470994750688	704
31	500	0.01	0.5	0.9	1	0	-1	0	0	0.001	0.933135848825137	756
31	500	0.01	0.5	0.9	1	0	-1	0	0	1	0.93253892093768	792
31	500	0.01	0.5	0.9	1	0	-1	0	1	0.001	0.933013268186402	1047
31	500	0.01	0.5	0.9	1	0	-1	0	1	1	0.931789799928216	845
31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	0.933530149925656	874
31	500	0.01	0.5	0.9	1	0	-1	0.01	0	1	0.93262774021674	806
31	500	0.01	0.5	0.9	1	0	-1	0.01	1	0.001	0.933223036090128	967
31	500	0.01	0.5	0.9	1	0	-1	0.01	1	1	0.933005609480578	838
31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	0.933676386227679	1022
31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	0.933451505904495	891
31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	0.933416202069504	842
31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	0.933276659343085	953
31	500	0.01	0.6	0.75	1	0	-1	0	0	0.001	0.931999088248905	757
31	500	0.01	0.6	0.75	1	0	-1	0	0	1	0.932518509239028	811
31	500	0.01	0.6	0.75	1	0	-1	0	1	0.001	0.932393770806424	773
31	500	0.01	0.6	0.75	1	0	-1	0	1	1	0.932838120728001	935
31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	0.932596444499762	729
31	500	0.01	0.6	0.75	1	0	-1	0.01	0	1	0.932584931229268	711
31	500	0.01	0.6	0.75	1	0	-1	0.01	1	0.001	0.932044682550784	819
31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	0.933378869080666	873
31	500	0.01	0.6	0.75	1	0	-1	0.05	0	0.001	0.932255079439117	739
31	500	0.01	0.6	0.75	1	0	-1	0.05	0	1	0.932743146040402	798
31	500	0.01	0.6	0.75	1	0	-1	0.05	1	0.001	0.93317413752241	779
31	500	0.01	0.6	0.75	1	0	-1	0.05	1	1	0.932933746841448	778
31	500	0.01	0.6	0.9	1	0	-1	0	0	0.001	0.932365284421465	837
31	500	0.01	0.6	0.9	1	0	-1	0	0	1	0.93337702322967	836
31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	0.933425816235665	840
31	500	0.01	0.6	0.9	1	0	-1	0	1	1	0.933209283430224	767
31	500	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	0.931903609937545	828
31	500	0.01	0.6	0.9	1	0	-1	0.01	0	1	0.932477566095666	799
31	500	0.01	0.6	0.9	1	0	-1	0.01	1	0.001	0.932920973905495	765
31	500	0.01	0.6	0.9	1	0	-1	0.01	1	1	0.932806134175202	768
31	500	0.01	0.6	0.9	1	0	-1	0.05	0	0.001	0.932032482156779	747
31	500	0.01	0.6	0.9	1	0	-1	0.05	0	1	0.933117951078385	904
31	500	0.01	0.6	0.9	1	0	-1	0.05	1	0.001	0.931729022200087	966
31	500	0.01	0.6	0.9	1	0	-1	0.05	1	1	0.933185364239016	891
