modelo	num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	max_depth	min_gain_to_split	lambda_l1	min_sum_hessian_in_leaf	par	semilla_modelo	semilla_undersampling	AUC	best_iter
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	1	445507	569599	0.932199998492216	734
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	2	172153	164299	0.932330999619668	894
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	3	665633	805471	0.931800570004221	751
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	4	629989	464047	0.931490753718963	784
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	5	343087	371639	0.932819234533193	934
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	1	445507	569599	0.932167232962373	758
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	2	172153	164299	0.932534273970908	872
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	3	665633	805471	0.932529264286128	822
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	4	629989	464047	0.931841968731279	837
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	5	343087	371639	0.932995314374389	870
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	1	445507	569599	0.932154452452123	786
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	2	172153	164299	0.932577016175312	882
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	3	665633	805471	0.932492718161171	753
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	4	629989	464047	0.931812404323447	731
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	5	343087	371639	0.932983740986687	853
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	1	445507	569599	0.93222412092682	785
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	2	172153	164299	0.932372952275734	715
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	3	665633	805471	0.932633431159483	796
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	4	629989	464047	0.931733267862698	848
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	5	343087	371639	0.932926582337863	871
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	1	445507	569599	0.932149031171299	805
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	2	172153	164299	0.932412634221474	842
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	3	665633	805471	0.93240150725979	876
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	4	629989	464047	0.931976417638921	928
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	5	343087	371639	0.933193539624741	959
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	1	445507	569599	0.932167817067086	811
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	2	172153	164299	0.932470236769872	833
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	3	665633	805471	0.932443860077156	873
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	4	629989	464047	0.931891226994476	884
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	5	343087	371639	0.933185214533488	881
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	1	445507	569599	0.931862764505426	808
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	2	172153	164299	0.93271663497885	843
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	3	665633	805471	0.932225612125175	807
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	4	629989	464047	0.931785377813738	841
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	5	343087	371639	0.932988712183075	833
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	1	445507	569599	0.931698218569984	762
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	2	172153	164299	0.932304179375345	835
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	3	665633	805471	0.932021278466665	820
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	4	629989	464047	0.931466239009084	773
M08	31	500	0.01	0.6	0.9	1	0	-1	0	0	1	5	343087	371639	0.932996035684037	794
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	1	445507	569599	0.932057705346945	795
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	2	172153	164299	0.932340762092992	882
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	3	665633	805471	0.931785228593174	905
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	4	629989	464047	0.931993659593815	885
M09	31	500	0.01	0.6	0.75	1	0	-1	0.01	1	1	5	343087	371639	0.932831091021501	908
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	1	445507	569599	0.931845708789813	879
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	2	172153	164299	0.932476552433883	817
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	3	665633	805471	0.931920954842832	825
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	4	629989	464047	0.931704438804635	797
M10	31	500	0.01	0.4	0.75	1	0	-1	0.01	0	0.001	5	343087	371639	0.932920500946738	812
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	1	445507	569599	0.931590032835801	735
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	2	172153	164299	0.932193012563999	858
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	3	665633	805471	0.93231513864429	788
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	4	629989	464047	0.931074922732209	735
M11	31	300	0.01	0.6	0.9	1	0	-1	0.01	0	0.001	5	343087	371639	0.932601970717446	724
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	1	445507	569599	0.931914116190138	407
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	2	172153	164299	0.932588914801225	414
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	3	665633	805471	0.931761351895586	439
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	4	629989	464047	0.931280929309291	435
M12	31	500	0.02	0.5	0.75	1	0	-1	0	0	0.001	5	343087	371639	0.932078553655616	373
